Year,Airlines,January,February,March,April,May,June,July,August,September,October,November,December
2017,Air Asia,17,0,6,8,4,2,7,0,0,0,0,0
2017,Go First,88,23,9,32,20,14,24,16,31,4,12,58
2017,Indigo,247,61,69,50,38,890,117,87,84,67,39,185
2017,Jetlite,17,15,4,9,10,2,8,13,37,20,34,30
2017,Spice Jet,74,34,28,35,38,27,42,56,57,35,57,85
2017,Jet Airways,81,13,12,53,38,20,34,57,182,36,60,85
2017,Vistara,26,2,3,8,0,0,20,3,7,14,10,16
2017,Air India,175,35,92,60,34,150,156,169,136,144,104,172
2018,Air India,190,85,101,117,130,299,306,348,193,480,303,287
2018,Air Asia,6,4,2,8,0,12,10,22,25,17,24,4
2018,Go First,33,66,50,8,47,61,134,20,17,0,10,3
2018,Indigo,556,365,658,128,117,65,30,889,82,77,253,168
2018,Jet Airways,105,13,46,9,68,88,24,91,29,20,71,31
2018,Jetlite,27,17,34,0,12,2,16,33,22,2,10,8
2018,Spice Jet,62,21,39,56,47,49,40,54,43,47,83,90
2018,Vistara,15,4,0,0,18,20,4,14,2,8,5,0
2019,Air India,322,248,298,130,111,91,490,453,310,550,442,456
2019,Air Asia,5,89,28,0,18,114,12,22,0,0,29,65
2019,Go First,55,37,3,2,27,17,38,76,10,33,184,233
2019,Indigo,922,645,66,43,383,39,536,361,208,119,442,880
2019,Jet Airways,179,197,105,229,NA,NA,NA,NA,NA,NA,NA,NA
2019,Jetlite,20,0,77,72,NA,NA,NA,NA,NA,NA,NA,NA
2019,Spice Jet,109,125,115,84,65,88,242,91,65,87,248,257
2019,Vistara,20,26,3,13,25,54,68,24,13,16,35,63
2020,Air Asia,30,8,206,NA,0,0,137,6,3,8,22,20
2020,Air India,504,237,1344,NA,114,197,543,556,602,782,170,97
2020,Go First,116,12,882,NA,0,27,2,0,2,0,0,25
2020,Indigo,435,75,1588,NA,19,192,253,196,249,377,350,439
2020,Spice Jet,192,74,48,NA,0,12,26,99,79,69,90,139
2020,Vistara,32,24,520,NA,0,233,283,226,26,8,16,66
2021,Air Asia,8,15,4,38,32,18,10,3,0,3,11,10
2021,Air India,196,100,260,549,1368,260,140,189,196,17,6,12
2021,Alliance Air,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,56,33
2021,Go First,86,9,3,4,2,2,2,0,1,0,3,0
2021,Indigo,471,145,320,748,513,303,218,168,236,153,243,106
2021,Spice Jet,216,87,27,30,39,39,101,42,30,58,55,75
2021,Vistara,89,17,47,138,150,32,17,18,16,77,46,5
2022,Air Asia,26,8,25,0,30,11,0,0,2,0,0,2
2022,Air India,107,26,5,3,17,12,86,67,18,10,16,12
2022,Akasa Air,NA,NA,NA,NA,NA,NA,NA,0,10,NA,0,4
2022,Alliance Air,99,33,19,0,33,56,33,33,112,33,0,109
2022,Go First,2,0,7,1,6,9,19,1,0,3,1,1
2022,Indigo,535,59,136,41,607,294,677,574,376,123,115,534
2022,Spice Jet,142,41,31,20,119,71,16,23,17,23,10,20
2022,Vistara,106,61,16,1,23,20,14,1,7,4,0,4
2023,Air Asia,20,0,2,0,2,2,NA,NA,NA,NA,NA,NA
2023,Air India,38,7,17,1,13,125,NA,NA,NA,NA,NA,NA
2023,Akasa Air,2,1,0,0,0,0,NA,NA,NA,NA,NA,NA
2023,Alliance Air,73,45,43,277,75,54,NA,NA,NA,NA,NA,NA
2023,Go First,3,2,2,4,4,0,NA,NA,NA,NA,NA,NA
2023,Indigo,1025,87,148,81,160,212,NA,NA,NA,NA,NA,NA
2023,Spice Jet,47,34,13,29,26,18,NA,NA,NA,NA,NA,NA
2023,Vistara,46,7,7,3,4,2,NA,NA,NA,NA,NA,NA
